@RELATION motion_tracking.arff

@ATTRIBUTE mean_x NUMERIC
@ATTRIBUTE std_x NUMERIC
@ATTRIBUTE min_x NUMERIC
@ATTRIBUTE max_x NUMERIC
@ATTRIBUTE range_x NUMERIC
@ATTRIBUTE rms_x NUMERIC
@ATTRIBUTE mean_y NUMERIC
@ATTRIBUTE std_y NUMERIC
@ATTRIBUTE min_y NUMERIC
@ATTRIBUTE max_y NUMERIC
@ATTRIBUTE range_y NUMERIC
@ATTRIBUTE rms_y NUMERIC
@ATTRIBUTE mean_z NUMERIC
@ATTRIBUTE std_z NUMERIC
@ATTRIBUTE min_z NUMERIC
@ATTRIBUTE max_z NUMERIC
@ATTRIBUTE range_z NUMERIC
@ATTRIBUTE rms_z NUMERIC
@ATTRIBUTE mean_mag NUMERIC
@ATTRIBUTE std_mag NUMERIC
@ATTRIBUTE mag_energy NUMERIC
@ATTRIBUTE spectral_entropy NUMERIC
@ATTRIBUTE class {left_hand,left_pocket,right_hand,right_pocket}

@DATA
-10.077702504158081,3.081301954620247,-16.503386696346464,-5.74417813868553,10.759208557660934,10.535964971132623,-6.166151817075984,2.065194121667172,-10.981212858490062,-2.3854266244735354,8.595786234016527,6.501147164324565,-1.7819216825089936,1.2835215067857744,-5.5444541452064176,1.1532917617621994,6.697745906968617,2.194163166284224,12.250939150252524,2.8375923469121154,158.09677407566016,0.828838493905982,left_hand
-9.988897677608247,3.048949201601284,-16.99463062496657,-5.74417813868553,11.250452486281041,10.441609937741667,-6.182593884965757,2.030984933786774,-9.701338329876844,-1.5722187331352326,8.129119596741612,6.506038281504783,-2.009823910228955,1.2569610240639941,-5.5444541452064176,1.0088191119926622,6.55327325719908,2.368831698445052,12.295562595474745,2.4129840012801687,156.97394480547766,0.7535067387094199,left_hand
-9.952056456678024,3.125745139566602,-17.101053163333468,-4.850878456743526,12.250174706589942,10.429015559122698,-5.995645542189263,2.00404767396613,-9.701338329876844,-1.5722187331352326,8.129119596741612,6.320101951152687,-2.024170775899423,1.0325113744967112,-4.305473856356489,0.3832039203854425,4.688677776741931,2.2711148864306714,12.176906350641415,2.3729878985019286,153.87968008334175,0.7794996995109035,left_hand
-9.708429504463437,3.2138361789286334,-17.93666903002154,-4.850878456743526,13.085790573278015,10.224000247433278,-5.820622114414305,1.7657942694731712,-9.141666757453761,-2.812995624443189,6.328671133010571,6.081276476009801,-2.069323917273013,1.112379516955502,-4.535020631369185,1.51154732556887,6.046567956938055,2.3480290094116283,11.877169071045454,2.4486004655594886,147.03250835062207,0.6535546542247703,left_hand
-9.28882244410441,2.9298947648394704,-17.93666903002154,-5.849270351729648,12.087398678291894,9.737717944405821,-5.74809197507881,1.7097737099891728,-8.850481753380178,-2.8712256017039044,5.979256151676274,5.995758769322228,-2.0849206125660333,1.0662625361814901,-4.535020631369185,1.51154732556887,6.046567956938055,2.3405272392768444,11.445245606272726,2.297971092587197,136.24764807399697,0.6380600504536568,left_hand
-8.9571791538339,2.39285221817547,-16.255501870070635,-5.849270351729648,10.406231518340988,9.26972935119133,-5.657415395205585,1.6575154603830373,-8.499495480349195,-2.836473903083122,5.663021577266073,5.894050467410468,-2.012114591881407,1.013980558097703,-4.1288928173917805,1.0673395923587798,5.196232409750561,2.2520144300384946,11.041900506378788,1.961464507383396,125.75147878117107,0.6185657046856958,left_hand
-9.022288038725312,2.529422998824216,-16.671082361828024,-6.386379561727234,10.284702800100789,9.368422979713985,-5.7500592876313545,1.6203468413962818,-8.427155554546541,-2.547460886151018,5.879694668395523,5.972892555207227,-1.9340126711342815,1.083460172788699,-4.318856114022483,1.0673395923587798,5.3861957063812635,2.2154823947005737,11.131057690267678,2.1181689362044946,128.36442515019561,0.601783053860417,left_hand
-9.293316752744008,2.8680230846494412,-16.671082361828024,-6.297680174128023,10.373402187700002,9.723669547382922,-5.837800915535104,1.6531870052642164,-8.427155554546541,-2.0430660200565067,6.384089534490034,6.066229771097084,-1.9999745604304424,1.0747839518072426,-4.318856114022483,1.217355934345592,5.536212048368075,2.2691903052133933,11.442998668383837,2.3624989680396697,136.4954310027946,0.6081957700778431,left_hand
-9.420221161784522,2.7485611624853674,-16.188807050610357,-6.297680174128023,9.891126876482335,9.811065218092494,-5.748863159812509,1.7052185873997887,-8.788944980873204,-2.0430660200565067,6.745878960816697,5.995207448605649,-2.1146485671924986,1.0489003033683488,-4.625950069646558,1.217355934345592,5.843306003992151,2.3593164019814514,11.538519437419192,2.156888465349584,137.76610286242646,0.6824460735596585,left_hand
-9.463060680812887,2.736637677431896,-15.980848903538902,-5.994674801457625,9.986174102081277,9.848902428986342,-5.870530877117912,1.7911423433782168,-9.673454981159244,-2.431451882230401,7.242003098928842,6.136376837281333,-2.1292131247348784,1.085780563902382,-5.241722006916672,1.4060899704517413,6.647811977368413,2.3888310582670345,11.665347152121212,2.076317603846999,140.36964576552697,0.6863068819689051,left_hand
