"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.472032083E-1,1.397404083E1,-8.541238403E0,1.568288727E0,1.645254084E1
7.572682083E-1,1.450049606E1,-8.793314209E0,1.344653778E0,1.701160941E1
7.673332083E-1,1.527573395E1,-8.846304016E0,1.672172699E0,1.773136498E1
7.773982083E-1,1.609168716E1,-9.207802277E0,2.304008789E0,1.868246437E1
7.874632083E-1,1.691332855E1,-9.320068817E0,3.163820801E0,1.956870276E1
7.975282083E-1,1.757899429E1,-9.249116364E0,3.809428253E0,2.022569993E1
8.075932083E-1,1.793615158E1,-9.230105896E0,4.030817871E0,2.057055860E1
8.176582083E-1,1.830199081E1,-8.740474091E0,3.855382690E0,2.064516241E1
8.277242083E-1,1.855960510E1,-7.772736511E0,2.731370087E0,2.030602760E1
8.377892083E-1,1.897274597E1,-7.088060303E0,1.189725952E0,2.028844835E1
8.478548333E-1,1.952734268E1,-6.746320953E0,1.514849854E-1,2.066041883E1
8.579198333E-1,2.004840912E1,-6.221212921E0,9.984237671E-2,2.099171663E1
8.679848333E-1,2.044852707E1,-5.196294250E0,-2.625540161E-1,2.110006322E1
8.780498333E-1,2.097977234E1,-4.150868225E0,-9.933343506E-1,2.140951348E1
8.881148333E-1,2.146491348E1,-2.572849731E0,-2.329904938E0,2.174374677E1
8.981798333E-1,2.058504318E1,-9.422904968E-1,-5.199138336E0,2.125236348E1
9.082448333E-1,1.938768311E1,-5.150788879E-1,-8.401429138E0,2.113602550E1
9.183108333E-1,1.902633453E1,-2.360142059E0,-9.620643768E0,2.145060519E1
9.283758333E-1,1.618614075E1,-2.512525177E0,-8.189020844E0,1.831294617E1
9.384408333E-1,1.255588989E1,-3.358715515E0,-6.892566833E0,1.471185979E1
9.485058333E-1,9.106762390E0,-5.262306976E0,-4.957989807E0,1.162783982E1
9.585708333E-1,6.866221619E0,-6.588998108E0,-2.409090271E0,9.816496896E0
9.686358333E-1,5.262606354E0,-6.642287292E0,1.142124939E-1,8.475143102E0
9.787008333E-1,4.611161041E0,-7.227570190E0,-3.387455750E-1,8.579937387E0
9.887658333E-1,4.087400208E0,-7.895032196E0,-1.245859222E0,8.977223348E0
9.988308333E-1,3.663032684E0,-8.276738434E0,-1.189576263E0,9.128926511E0
1.008895833E0,2.292333069E0,-7.909851379E0,-6.825805664E-1,8.263561942E0
1.018961833E0,7.229965210E-1,-6.736441498E0,-1.217717743E0,6.883691199E0
1.029026833E0,-4.587959290E-1,-6.025420074E0,-2.521955566E0,6.548010435E0
1.039091833E0,-1.184486847E0,-5.893843689E0,-2.767295380E0,6.618030390E0
1.049156833E0,-2.072889404E0,-5.248385925E0,-2.234702911E0,6.069293402E0
1.059221833E0,-1.877096558E0,-4.699028320E0,-9.960287476E-1,5.157172860E0
1.069286833E0,-6.212081909E-2,-4.389472046E0,-4.918771362E-1,4.417382365E0
