"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.575993750E-1,2.478845215E0,3.898193665E0,9.358239441E0,1.043634193E1
6.676653750E-1,3.621568909E0,5.007836151E0,8.298592987E0,1.034702034E1
6.777303750E-1,3.621568909E0,6.120622101E0,7.633975067E0,1.043337681E1
6.877963750E-1,4.176315308E0,6.537505188E0,8.436456299E0,1.146099378E1
6.978623750E-1,5.668562164E0,5.499713287E0,9.784852295E0,1.257468798E1
7.079283750E-1,6.169720001E0,4.444407806E0,1.109867020E1,1.345357520E1
7.179933750E-1,6.119274902E0,4.380640411E0,1.184382065E1,1.403252020E1
7.280593750E-1,6.153852997E0,4.614454193E0,1.132170639E1,1.368737118E1
7.381253750E-1,5.682034149E0,4.649631042E0,1.021236328E1,1.257763669E1
7.481903750E-1,5.688021698E0,4.556225281E0,7.940836945E0,1.077820352E1
7.582563750E-1,5.512137451E0,4.191733246E0,6.656507721E0,9.605382966E0
7.683223750E-1,5.298381958E0,3.775299225E0,6.886429596E0,9.473576315E0
7.783883750E-1,5.486390991E0,3.712729340E0,7.347620544E0,9.893046696E0
7.884533750E-1,5.606890411E0,3.791914673E0,7.759264526E0,1.029669961E1
7.985193750E-1,5.425018616E0,3.664978638E0,7.647147675E0,1.006686460E1
8.085853750E-1,5.068460083E0,3.261268158E0,7.251969452E0,9.429539678E0
8.186513750E-1,4.301754456E0,2.881657562E0,6.731352081E0,8.492357891E0
8.287163750E-1,3.568579102E0,2.758314056E0,5.591921539E0,7.184193743E0
8.387823750E-1,3.646566925E0,2.550097046E0,4.559368744E0,6.370893864E0
8.488483750E-1,4.392615509E0,2.355950775E0,4.221970367E0,6.532274401E0
8.589133750E-1,6.322402496E0,1.309476929E0,4.741689606E0,8.010688077E0
8.689793750E-1,7.078330536E0,2.029779053E-1,6.525530090E0,9.629460326E0
8.790453750E-1,3.291205902E0,3.127296753E0,7.423662415E0,8.701883987E0
8.891113750E-1,1.985321503E0,3.112627258E0,6.630761261E0,7.589265104E0
8.991763750E-1,3.053350525E0,1.372196503E0,5.594466248E0,6.519503452E0
9.092423750E-1,3.927682343E0,1.009201355E0,4.466262360E0,6.032634203E0
9.193083750E-1,4.200265503E0,1.468146973E0,3.158132629E0,5.456325461E0
9.293743750E-1,4.065695343E0,1.004411316E0,1.392853546E0,4.413475016E0
9.394393750E-1,3.385809174E0,5.230123901E-1,1.872605896E-1,3.431080333E0
9.495053750E-1,4.170627136E0,2.379451904E0,3.037184143E-1,4.811254197E0
9.595713750E-1,4.277205505E0,1.212628326E0,3.382965088E-2,4.445908101E0
9.696373750E-1,4.505031738E0,3.562591553E-2,3.848497009E-1,4.521580416E0
9.797023750E-1,4.688849487E0,6.750961304E-2,9.824070740E-1,4.791136684E0
9.897683750E-1,4.593797150E0,-4.378395081E-1,1.890119476E0,4.986705057E0
9.998343750E-1,4.365072784E0,-9.960287476E-1,3.474125519E0,5.667052303E0
1.009899375E0,4.884043579E0,-7.009922791E-1,3.307372284E0,5.940032263E0
1.019965375E0,6.164331207E0,-9.683363342E-1,2.728675690E0,6.810457070E0
